product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,product_title,price,avg_product_rating,product_rating_count,product_tags,product_url
781070,Olay,16752142,Worth buying 50g one,works claims difference day olay cleanser results,Ashton Dsouza,23/01/2021 15:17,5.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
781070,Olay,14682550,Best cream to start ur day,claims thing smoothens ur makes soft,Amrit Neelam,07/09/2020 15:30,5.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
781070,Olay,15618995,perfect for summers dry for winters,months combination oily greasy absorbs quickly moisturises doesnt work winters,Sanchi Gupta,13/11/2020 12:24,4.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
781070,Olay,13474509,Not a moisturizer,oily whip acts base primer smoothens moisturise felt needed moisturiser worth price buying,Ruchi Shah,14/06/2020 11:56,3.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
781070,Olay,16338982,Average,refresh products,Sukanya Sarkar,22/12/2020 15:24,2.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
781070,Olay,14549640,not good for oily skin,dz dry olay representative suggest dz type oily type don buys dry normal packaging box big size bt inside ll gt lipbalm size cream loss small quantity heavy price,Laxmi Basumatary,27/08/2020 18:16,1.0,True,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1599,4.1,43,,https://www.nykaa.com/olay-ultra-lightweight-moisturiser-luminous-whip-day-cream-non-spf/p/781070
739418,Olay,16531371,All time favorite,cream awesome makes rough soft leaving oily effect continue,Priyanka Barwal,06/01/2021 15:43,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
739418,Olay,21356560,"""Good Product """,instantly tone appearance,Bandana Mukherjee,13/11/2021 19:57,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
739418,Olay,15235570,Good eye cream combo,eye cream combo effective works fine lines eye dark circles worth penny,krish,19/10/2020 15:08,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
739418,Olay,22008691,"""Olay''",helps reduces dark spots wrinkles,Gargi Mukherjee,16/12/2021 14:55,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
739418,Olay,23018268,Must try,combo olay absolutely worth,Sharmistha Paul,18/02/2022 17:11,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
739418,Olay,15592536,Fabulous,awesome,kajal kumawat,11/11/2020 15:18,5.0,False,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,1943,4.0,792,,https://www.nykaa.com/olay-regenerist-whip-mini-and-ultimate-eye-cream-combo/p/739418
6836720,Olay,29118808,Horrible cream,increases pimples,Gayatri Prakash,05/10/2022 07:30,1.0,True,"Olay Aha & Niacinamide Super Cream , Acne Mark & Spot Removal Cream - For All Skin Types",1399,3.8,6,FEATURED,https://www.nykaa.com/olay-aha-niacinamide-super-cream/p/6836720
